date,game,session,winning_numbers
1/1/2025,Cash3,EVENING,288
1/1/2025,Cash3,MIDDAY,843
1/1/2025,Cash3,NIGHT,425
1/1/2025,Cash4,EVENING,9601
1/1/2025,Cash4,MIDDAY,6109
1/1/2025,Cash4,NIGHT,8564
1/1/2025,Cash4Life,,10 11 13 18 29 1
1/1/2025,Powerball,,6 12 28 35 66 26
1/2/2025,Cash3,EVENING,681
1/2/2025,Cash3,MIDDAY,692
1/2/2025,Cash3,NIGHT,677
1/2/2025,Cash4,EVENING,6381
1/2/2025,Cash4,MIDDAY,8624
1/2/2025,Cash4,NIGHT,1013
1/2/2025,Cash4Life,,8 27 30 36 47 4
1/3/2025,Cash3,EVENING,503
1/3/2025,Cash3,MIDDAY,047
1/3/2025,Cash3,NIGHT,201
1/3/2025,Cash4,EVENING,87
1/3/2025,Cash4,MIDDAY,197
1/3/2025,Cash4,NIGHT,3630
1/3/2025,Cash4Life,,12 25 28 47 55 1
1/3/2025,Mega Millions,,20 42 46 59 69 19
1/4/2025,Cash3,EVENING,658
1/4/2025,Cash3,MIDDAY,369
1/4/2025,Cash3,NIGHT,430
1/4/2025,Cash4,EVENING,3910
1/4/2025,Cash4,MIDDAY,3009
1/4/2025,Cash4,NIGHT,8799
1/4/2025,Cash4Life,,1 21 24 32 46 1
1/4/2025,Powerball,,26 32 43 54 56 24
1/5/2025,Cash3,EVENING,631
1/5/2025,Cash3,MIDDAY,668
1/5/2025,Cash3,NIGHT,716
1/5/2025,Cash4,EVENING,3338
1/5/2025,Cash4,MIDDAY,2847
1/5/2025,Cash4,NIGHT,3356
1/5/2025,Cash4Life,,2 6 17 46 57 2
1/6/2025,Cash3,EVENING,593
1/6/2025,Cash3,MIDDAY,569
1/6/2025,Cash3,NIGHT,198
1/6/2025,Cash4,EVENING,5573
1/6/2025,Cash4,MIDDAY,1566
1/6/2025,Cash4,NIGHT,7615
1/6/2025,Cash4Life,,14 15 16 22 59 2
1/6/2025,Powerball,,17 34 46 66 67 14
1/7/2025,Cash3,EVENING,907
1/7/2025,Cash3,MIDDAY,198
1/7/2025,Cash3,NIGHT,135
1/7/2025,Cash4,EVENING,4794
1/7/2025,Cash4,MIDDAY,8938
1/7/2025,Cash4,NIGHT,6835
1/7/2025,Cash4Life,,5 22 24 53 56 4
1/7/2025,Mega Millions,,20 24 33 39 48 18
1/8/2025,Cash3,EVENING,293
1/8/2025,Cash3,MIDDAY,925
1/8/2025,Cash3,NIGHT,2
1/8/2025,Cash3,NIGHT,002
1/8/2025,Cash4,EVENING,9007
1/8/2025,Cash4,MIDDAY,7960
1/8/2025,Cash4,NIGHT,4112
1/8/2025,Cash4Life,,3 4 10 36 56 4
1/8/2025,Powerball,,1 20 36 38 43 24
1/9/2025,Cash3,EVENING,636
1/9/2025,Cash3,MIDDAY,71
1/9/2025,Cash3,MIDDAY,071
1/9/2025,Cash3,NIGHT,746
1/9/2025,Cash4,EVENING,4545
1/9/2025,Cash4,MIDDAY,5189
1/9/2025,Cash4,NIGHT,4211
1/9/2025,Cash4Life,,3 6 18 30 40 2
1/10/2025,Cash3,EVENING,672
1/10/2025,Cash3,MIDDAY,825
1/10/2025,Cash3,NIGHT,179
1/10/2025,Cash4,EVENING,3773
1/10/2025,Cash4,MIDDAY,3445
1/10/2025,Cash4,NIGHT,4351
1/10/2025,Cash4Life,,9 37 44 46 48 1
1/10/2025,Mega Millions,,9 23 39 65 66 22
1/11/2025,Cash3,EVENING,462
1/11/2025,Cash3,MIDDAY,755
1/11/2025,Cash3,NIGHT,191
1/11/2025,Cash4,EVENING,4455
1/11/2025,Cash4,MIDDAY,9065
1/11/2025,Cash4,NIGHT,5809
1/11/2025,Cash4Life,,18 23 27 28 60 4
1/11/2025,Powerball,,3 6 32 37 65 4
1/12/2025,Cash3,EVENING,454
1/12/2025,Cash3,MIDDAY,106
1/12/2025,Cash3,NIGHT,559
1/12/2025,Cash4,EVENING,7064
1/12/2025,Cash4,MIDDAY,7016
1/12/2025,Cash4,NIGHT,6974
1/12/2025,Cash4Life,,2 35 43 55 59 4
1/13/2025,Cash3,EVENING,986
1/13/2025,Cash3,MIDDAY,111
1/13/2025,Cash3,NIGHT,260
1/13/2025,Cash4,EVENING,2549
1/13/2025,Cash4,MIDDAY,1315
1/13/2025,Cash4,NIGHT,815
1/13/2025,Cash4Life,,3 7 10 22 49 2
1/13/2025,Powerball,,4 6 16 39 66 9
1/14/2025,Cash3,EVENING,576
1/14/2025,Cash3,MIDDAY,769
1/14/2025,Cash3,NIGHT,164
1/14/2025,Cash4,EVENING,2507
1/14/2025,Cash4,MIDDAY,3925
1/14/2025,Cash4,NIGHT,1096
1/14/2025,Cash4Life,,2 7 17 20 52 3
1/14/2025,Mega Millions,,4 14 35 49 62 6
1/15/2025,Cash3,EVENING,319
1/15/2025,Cash3,MIDDAY,978
1/15/2025,Cash3,NIGHT,612
1/15/2025,Cash4,EVENING,1197
1/15/2025,Cash4,MIDDAY,6526
1/15/2025,Cash4,NIGHT,9729
1/15/2025,Cash4Life,,1 11 25 47 55 4
1/15/2025,Powerball,,8 41 52 53 58 7
1/16/2025,Cash3,EVENING,963
1/16/2025,Cash3,MIDDAY,492
1/16/2025,Cash3,NIGHT,364
1/16/2025,Cash4,EVENING,4352
1/16/2025,Cash4,MIDDAY,9105
1/16/2025,Cash4,NIGHT,6681
1/16/2025,Cash4Life,,15 22 38 44 58 1
1/17/2025,Cash3,EVENING,648
1/17/2025,Cash3,MIDDAY,258
1/17/2025,Cash3,NIGHT,531
1/17/2025,Cash4,EVENING,7698
1/17/2025,Cash4,MIDDAY,7126
1/17/2025,Cash4,NIGHT,151
1/17/2025,Cash4Life,,13 14 24 26 57 1
1/17/2025,Mega Millions,,8 10 37 54 69 22
1/18/2025,Cash3,EVENING,22
1/18/2025,Cash3,EVENING,022
1/18/2025,Cash3,MIDDAY,397
1/18/2025,Cash3,NIGHT,445
1/18/2025,Cash4,EVENING,9948
1/18/2025,Cash4,MIDDAY,3680
1/18/2025,Cash4,NIGHT,1751
1/18/2025,Cash4Life,,4 21 22 25 41 1
1/18/2025,Powerball,,14 31 35 64 69 23
1/19/2025,Cash3,EVENING,370
1/19/2025,Cash3,MIDDAY,887
1/19/2025,Cash3,NIGHT,550
1/19/2025,Cash4,EVENING,1361
1/19/2025,Cash4,MIDDAY,2124
1/19/2025,Cash4,NIGHT,727
1/19/2025,Cash4Life,,35 48 53 54 59 2
1/20/2025,Cash3,EVENING,663
1/20/2025,Cash3,MIDDAY,721
1/20/2025,Cash3,NIGHT,418
1/20/2025,Cash4,EVENING,6080
1/20/2025,Cash4,MIDDAY,2948
1/20/2025,Cash4,NIGHT,1324
1/20/2025,Cash4Life,,3 19 23 35 36 3
1/20/2025,Powerball,,15 16 32 47 54 6
1/21/2025,Cash3,EVENING,143
1/21/2025,Cash3,MIDDAY,679
1/21/2025,Cash3,NIGHT,277
1/21/2025,Cash4,EVENING,7155
1/21/2025,Cash4,MIDDAY,4692
1/21/2025,Cash4,NIGHT,2608
1/21/2025,Cash4Life,,8 17 27 54 57 1
1/21/2025,Mega Millions,,27 30 56 64 65 22
1/22/2025,Cash3,EVENING,602
1/22/2025,Cash3,MIDDAY,5
1/22/2025,Cash3,MIDDAY,005
1/22/2025,Cash3,NIGHT,864
1/22/2025,Cash4,EVENING,7872
1/22/2025,Cash4,MIDDAY,5980
1/22/2025,Cash4,NIGHT,371
1/22/2025,Cash4Life,,4 7 20 45 56 1
1/22/2025,Powerball,,5 6 27 40 49 5
1/23/2025,Cash3,EVENING,637
1/23/2025,Cash3,MIDDAY,320
1/23/2025,Cash3,NIGHT,958
1/23/2025,Cash4,EVENING,9980
1/23/2025,Cash4,MIDDAY,6651
1/23/2025,Cash4,NIGHT,3618
1/23/2025,Cash4Life,,9 30 40 42 57 3
1/24/2025,Cash3,EVENING,428
1/24/2025,Cash3,MIDDAY,281
1/24/2025,Cash3,NIGHT,103
1/24/2025,Cash4,EVENING,5257
1/24/2025,Cash4,MIDDAY,6739
1/24/2025,Cash4,NIGHT,3471
1/24/2025,Cash4Life,,18 22 31 33 40 3
1/24/2025,Mega Millions,,8 12 43 52 62 18
1/25/2025,Cash3,EVENING,575
1/25/2025,Cash3,MIDDAY,694
1/25/2025,Cash3,NIGHT,326
1/25/2025,Cash4,EVENING,6287
1/25/2025,Cash4,MIDDAY,6535
1/25/2025,Cash4,NIGHT,5806
1/25/2025,Cash4Life,,5 30 33 45 57 3
1/25/2025,Powerball,,8 15 17 53 66 14
1/26/2025,Cash3,EVENING,225
1/26/2025,Cash3,MIDDAY,983
1/26/2025,Cash3,NIGHT,372
1/26/2025,Cash4,EVENING,4146
1/26/2025,Cash4,MIDDAY,8814
1/26/2025,Cash4,NIGHT,3346
1/26/2025,Cash4Life,,31 35 43 50 51 2
1/27/2025,Cash3,EVENING,793
1/27/2025,Cash3,MIDDAY,114
1/27/2025,Cash3,NIGHT,692
1/27/2025,Cash4,EVENING,8540
1/27/2025,Cash4,MIDDAY,4317
1/27/2025,Cash4,NIGHT,851
1/27/2025,Cash4Life,,8 15 42 50 51 3
1/27/2025,Powerball,,2 40 47 53 55 20
1/28/2025,Cash3,EVENING,67
1/28/2025,Cash3,EVENING,067
1/28/2025,Cash3,MIDDAY,778
1/28/2025,Cash3,NIGHT,670
1/28/2025,Cash4,EVENING,2253
1/28/2025,Cash4,MIDDAY,8049
1/28/2025,Cash4,NIGHT,9877
1/28/2025,Cash4Life,,22 40 45 54 60 1
1/28/2025,Mega Millions,,10 19 31 47 56 6
1/29/2025,Cash3,EVENING,92
1/29/2025,Cash3,EVENING,092
1/29/2025,Cash3,MIDDAY,698
1/29/2025,Cash3,NIGHT,940
1/29/2025,Cash4,EVENING,4321
1/29/2025,Cash4,MIDDAY,8162
1/29/2025,Cash4,NIGHT,4881
1/29/2025,Cash4Life,,8 32 40 41 56 1
1/29/2025,Powerball,,8 12 31 33 38 18
1/30/2025,Cash3,EVENING,64
1/30/2025,Cash3,EVENING,064
1/30/2025,Cash3,MIDDAY,278
1/30/2025,Cash3,NIGHT,892
1/30/2025,Cash4,EVENING,2231
1/30/2025,Cash4,MIDDAY,3711
1/30/2025,Cash4,NIGHT,3106
1/30/2025,Cash4Life,,6 10 38 53 54 2
1/31/2025,Cash3,EVENING,343
1/31/2025,Cash3,MIDDAY,116
1/31/2025,Cash3,NIGHT,527
1/31/2025,Cash4,EVENING,7156
1/31/2025,Cash4,MIDDAY,3587
1/31/2025,Cash4,NIGHT,4783
1/31/2025,Cash4Life,,13 15 28 32 46 3
1/31/2025,Mega Millions,,9 28 48 56 63 2
2/1/2025,Cash3,EVENING,453
2/1/2025,Cash3,MIDDAY,49
2/1/2025,Cash3,MIDDAY,049
2/1/2025,Cash3,NIGHT,125
2/1/2025,Cash4,EVENING,1730
2/1/2025,Cash4,MIDDAY,4508
2/1/2025,Cash4,NIGHT,1253
2/1/2025,Cash4Life,,7 17 31 33 34 2
2/1/2025,Powerball,,23 29 32 49 61 8
2/2/2025,Cash3,EVENING,337
2/2/2025,Cash3,MIDDAY,950
2/2/2025,Cash3,NIGHT,68
2/2/2025,Cash3,NIGHT,068
2/2/2025,Cash4,EVENING,4813
2/2/2025,Cash4,MIDDAY,4683
2/2/2025,Cash4,NIGHT,8075
2/2/2025,Cash4Life,,6 29 33 49 52 2
2/3/2025,Cash3,EVENING,723
2/3/2025,Cash3,MIDDAY,551
2/3/2025,Cash3,NIGHT,375
2/3/2025,Cash4,EVENING,3386
2/3/2025,Cash4,MIDDAY,335
2/3/2025,Cash4,NIGHT,273
2/3/2025,Cash4Life,,8 9 15 25 46 1
2/3/2025,Powerball,,12 37 47 54 60 17
2/4/2025,Cash3,EVENING,555
2/4/2025,Cash3,MIDDAY,254
2/4/2025,Cash3,NIGHT,216
2/4/2025,Cash4,EVENING,8853
2/4/2025,Cash4,MIDDAY,7502
2/4/2025,Cash4,NIGHT,8901
2/4/2025,Cash4Life,,16 19 22 26 35 4
2/4/2025,Mega Millions,,14 24 31 53 54 1
2/5/2025,Cash3,EVENING,825
2/5/2025,Cash3,MIDDAY,896
2/5/2025,Cash3,NIGHT,733
2/5/2025,Cash4,EVENING,3360
2/5/2025,Cash4,MIDDAY,2812
2/5/2025,Cash4,NIGHT,795
2/5/2025,Cash4Life,,17 27 29 36 46 3
2/5/2025,Powerball,,19 27 30 50 62 14
2/6/2025,Cash3,EVENING,27
2/6/2025,Cash3,EVENING,027
2/6/2025,Cash3,MIDDAY,533
2/6/2025,Cash3,NIGHT,284
2/6/2025,Cash4,EVENING,4245
2/6/2025,Cash4,MIDDAY,5137
2/6/2025,Cash4,NIGHT,9523
2/6/2025,Cash4Life,,22 30 38 47 58 4
2/7/2025,Cash3,EVENING,452
2/7/2025,Cash3,MIDDAY,742
2/7/2025,Cash3,NIGHT,957
2/7/2025,Cash4,EVENING,5311
2/7/2025,Cash4,MIDDAY,4280
2/7/2025,Cash4,NIGHT,1102
2/7/2025,Cash4Life,,10 22 23 31 39 2
2/7/2025,Mega Millions,,4 24 32 41 55 16
2/8/2025,Cash3,EVENING,811
2/8/2025,Cash3,MIDDAY,314
2/8/2025,Cash3,NIGHT,428
2/8/2025,Cash4,EVENING,4595
2/8/2025,Cash4,MIDDAY,7154
2/8/2025,Cash4,NIGHT,5121
2/8/2025,Cash4Life,,9 13 43 51 57 2
2/8/2025,Powerball,,23 44 57 60 62 9
2/9/2025,Cash3,EVENING,212
2/9/2025,Cash3,MIDDAY,508
2/9/2025,Cash3,NIGHT,621
2/9/2025,Cash4,EVENING,2144
2/9/2025,Cash4,MIDDAY,5975
2/9/2025,Cash4,NIGHT,7176
2/9/2025,Cash4Life,,18 19 27 51 53 1
2/10/2025,Cash3,EVENING,332
2/10/2025,Cash3,MIDDAY,322
2/10/2025,Cash3,NIGHT,136
2/10/2025,Cash4,EVENING,7631
2/10/2025,Cash4,MIDDAY,9481
2/10/2025,Cash4,NIGHT,482
2/10/2025,Cash4Life,,13 15 17 20 55 3
2/10/2025,Powerball,,2 17 18 29 43 3
2/11/2025,Cash3,EVENING,562
2/11/2025,Cash3,MIDDAY,964
2/11/2025,Cash3,NIGHT,653
2/11/2025,Cash4,EVENING,4845
2/11/2025,Cash4,MIDDAY,7477
2/11/2025,Cash4,NIGHT,9088
2/11/2025,Cash4Life,,1 10 14 22 33 1
2/11/2025,Mega Millions,,7 30 39 41 70 13
2/12/2025,Cash3,EVENING,279
2/12/2025,Cash3,MIDDAY,624
2/12/2025,Cash3,NIGHT,357
2/12/2025,Cash4,EVENING,1818
2/12/2025,Cash4,MIDDAY,3885
2/12/2025,Cash4,NIGHT,2221
2/12/2025,Cash4Life,,20 24 34 49 58 1
2/12/2025,Powerball,,21 32 36 45 49 18
2/13/2025,Cash3,EVENING,634
2/13/2025,Cash3,MIDDAY,136
2/13/2025,Cash3,NIGHT,489
2/13/2025,Cash4,EVENING,8850
2/13/2025,Cash4,MIDDAY,1873
2/13/2025,Cash4,NIGHT,5788
2/13/2025,Cash4Life,,25 54 57 58 59 1
2/14/2025,Cash3,EVENING,140
2/14/2025,Cash3,MIDDAY,863
2/14/2025,Cash3,NIGHT,487
2/14/2025,Cash4,EVENING,9209
2/14/2025,Cash4,MIDDAY,300
2/14/2025,Cash4,NIGHT,60
2/14/2025,Cash4Life,,8 34 48 52 58 2
2/14/2025,Mega Millions,,11 19 31 49 56 16
2/15/2025,Cash3,EVENING,293
2/15/2025,Cash3,MIDDAY,717
2/15/2025,Cash3,NIGHT,189
2/15/2025,Cash4,EVENING,2842
2/15/2025,Cash4,MIDDAY,7185
2/15/2025,Cash4,NIGHT,6800
2/15/2025,Cash4Life,,8 31 34 41 52 4
2/15/2025,Powerball,,3 16 45 54 56 12
2/16/2025,Cash3,EVENING,828
2/16/2025,Cash3,MIDDAY,047
2/16/2025,Cash3,NIGHT,959
2/16/2025,Cash4,EVENING,2468
2/16/2025,Cash4,MIDDAY,7793
2/16/2025,Cash4,NIGHT,2960
2/16/2025,Cash4Life,,4 22 24 39 46 2
2/17/2025,Cash3,EVENING,469
2/17/2025,Cash3,MIDDAY,395
2/17/2025,Cash3,NIGHT,678
2/17/2025,Cash4,EVENING,5056
2/17/2025,Cash4,MIDDAY,9478
2/17/2025,Cash4,NIGHT,2444
2/17/2025,Cash4Life,,4 9 31 32 39 4
2/17/2025,Powerball,,4 44 47 52 57 9
2/18/2025,Cash3,EVENING,974
2/18/2025,Cash3,MIDDAY,4
2/18/2025,Cash3,MIDDAY,004
2/18/2025,Cash3,NIGHT,631
2/18/2025,Cash4,EVENING,6209
2/18/2025,Cash4,MIDDAY,8706
2/18/2025,Cash4,NIGHT,6300
2/18/2025,Cash4Life,,15 17 25 44 45 1
2/18/2025,Mega Millions,,1 20 25 58 61 22
2/19/2025,Cash3,EVENING,619
2/19/2025,Cash3,MIDDAY,625
2/19/2025,Cash3,NIGHT,955
2/19/2025,Cash4,EVENING,2383
2/19/2025,Cash4,MIDDAY,3078
2/19/2025,Cash4,NIGHT,4990
2/19/2025,Cash4Life,,13 21 29 38 57 2
2/19/2025,Powerball,,6 21 28 49 60 20
2/20/2025,Cash3,EVENING,891
2/20/2025,Cash3,MIDDAY,573
2/20/2025,Cash3,NIGHT,990
2/20/2025,Cash4,EVENING,2459
2/20/2025,Cash4,MIDDAY,296
2/20/2025,Cash4,NIGHT,5638
2/20/2025,Cash4Life,,6 18 20 36 56 2
2/21/2025,Cash3,EVENING,641
2/21/2025,Cash3,MIDDAY,438
2/21/2025,Cash3,NIGHT,886
2/21/2025,Cash4,EVENING,945
2/21/2025,Cash4,MIDDAY,492
2/21/2025,Cash4,NIGHT,1522
2/21/2025,Cash4Life,,20 24 36 45 53 3
2/21/2025,Mega Millions,,1 13 28 37 46 10
2/22/2025,Cash3,EVENING,435
2/22/2025,Cash3,MIDDAY,395
2/22/2025,Cash3,NIGHT,396
2/22/2025,Cash4,EVENING,3199
2/22/2025,Cash4,MIDDAY,4158
2/22/2025,Cash4,NIGHT,807
2/22/2025,Cash4Life,,4 29 39 40 45 2
2/22/2025,Powerball,,7 18 22 50 65 15
2/23/2025,Cash3,EVENING,67
2/23/2025,Cash3,EVENING,067
2/23/2025,Cash3,MIDDAY,118
2/23/2025,Cash3,NIGHT,618
2/23/2025,Cash4,EVENING,7094
2/23/2025,Cash4,MIDDAY,5875
2/23/2025,Cash4,NIGHT,8173
2/23/2025,Cash4Life,,1 7 11 30 37 3
2/24/2025,Cash3,EVENING,935
2/24/2025,Cash3,MIDDAY,906
2/24/2025,Cash3,NIGHT,242
2/24/2025,Cash4,EVENING,4992
2/24/2025,Cash4,MIDDAY,5006
2/24/2025,Cash4,NIGHT,3001
2/24/2025,Cash4Life,,15 36 47 52 56 2
2/24/2025,Powerball,,10 11 34 59 68 14
2/25/2025,Cash3,EVENING,290
2/25/2025,Cash3,MIDDAY,261
2/25/2025,Cash3,NIGHT,942
2/25/2025,Cash4,EVENING,7475
2/25/2025,Cash4,MIDDAY,6211
2/25/2025,Cash4,NIGHT,517
2/25/2025,Cash4Life,,25 34 46 57 59 2
2/25/2025,Mega Millions,,4 8 11 32 52 13
2/26/2025,Cash3,EVENING,612
2/26/2025,Cash3,MIDDAY,698
2/26/2025,Cash3,NIGHT,223
2/26/2025,Cash4,EVENING,5402
2/26/2025,Cash4,MIDDAY,5849
2/26/2025,Cash4,NIGHT,7024
2/26/2025,Cash4Life,,21 33 41 50 55 1
2/26/2025,Powerball,,28 48 55 60 62 20
2/27/2025,Cash3,EVENING,746
2/27/2025,Cash3,MIDDAY,319
2/27/2025,Cash3,NIGHT,273
2/27/2025,Cash4,EVENING,7487
2/27/2025,Cash4,MIDDAY,4909
2/27/2025,Cash4,NIGHT,3904
2/27/2025,Cash4Life,,22 34 40 54 59 1
2/28/2025,Cash3,EVENING,996
2/28/2025,Cash3,MIDDAY,664
2/28/2025,Cash3,NIGHT,278
2/28/2025,Cash4,EVENING,5749
2/28/2025,Cash4,MIDDAY,7979
2/28/2025,Cash4,NIGHT,8445
2/28/2025,Cash4Life,,2 15 23 44 54 1
2/28/2025,Mega Millions,,9 19 30 35 66 16
3/1/2025,Cash3,EVENING,939
3/1/2025,Cash3,MIDDAY,835
3/1/2025,Cash3,NIGHT,583
3/1/2025,Cash4,EVENING,6205
3/1/2025,Cash4,MIDDAY,7606
3/1/2025,Cash4,NIGHT,6749
3/1/2025,Cash4Life,,10 23 54 57 60 4
3/1/2025,Powerball,,2 23 36 44 49 25
3/2/2025,Cash3,EVENING,386
3/2/2025,Cash3,MIDDAY,245
3/2/2025,Cash3,NIGHT,534
3/2/2025,Cash4,EVENING,6833
3/2/2025,Cash4,MIDDAY,3505
3/2/2025,Cash4,NIGHT,9733
3/2/2025,Cash4Life,,19 35 43 45 46 3
3/3/2025,Cash3,EVENING,960
3/3/2025,Cash3,MIDDAY,110
3/3/2025,Cash3,NIGHT,379
3/3/2025,Cash4,EVENING,4100
3/3/2025,Cash4,MIDDAY,3495
3/3/2025,Cash4,NIGHT,328
